,totalHrs,validHrs,users,totalClips,validatedClips
ab,92.04,60.53,417,64002,42091
af,1.41,0.6,58,869,371
am,2.77,1.75,40,1599,1008
ar,156.71,91.2,1620,135593,78917
as,7.62,2.94,51,4656,1801
ast,2.06,0.92,30,1679,749
az,1.32,0.46,36,874,309
ba,268.33,258.37,924,218223,210118
bas,13.57,12.13,52,12453,11134
be,1872.39,1801.75,8560,1407970,1354857
bg,20.95,16.96,142,13785,11162
bn,1274.49,53.88,22958,1050343,44405
br,28.17,26.34,216,31782,29716
ca,3787.06,3255.59,36567,2606183,2240433
ckb,190.54,135.45,1904,167702,119212
cnh,6.04,2.4,300,6187,2463
cs,267.47,79.43,1074,215755,64072
cv,28.64,24.49,122,20456,17489
cy,158.03,123.87,1909,115790,90758
da,15.45,12.71,285,13693,11271
dav,55.95,9.31,24,49630,8259
de,1451.98,1358.64,19438,996898,932816
dv,61.49,37.63,387,43232,26458
dyu,0.51,0.36,35,295,207
el,31.99,19.18,422,27765,16645
en,3669.58,2700.97,95904,2507149,1845369
eo,1915.67,1436.03,1838,1136145,851677
es,2252.12,582.57,26413,1663291,430259
et,63.74,48.91,999,33994,26083
eu,703.06,368.4,10885,460071,241076
fa,425.67,371.56,4574,386842,337669
fi,22.33,15.23,236,17394,11865
fr,1172.46,1054.99,20046,839978,755819
fy-NL,212.86,69.48,2060,157879,51537
ga-IE,10.49,6.04,195,10521,6063
gl,347.31,130.08,6153,248712,93156
gn,28.47,3.76,205,22504,2979
ha,12.35,4.09,56,10223,3389
he,6.64,2.95,48,5276,2342
hi,22.62,15.27,454,16259,10979
hsb,3.3,2.52,24,1908,1457
ht,0.04,0.02,3,30,17
hu,179.33,96.1,1656,116548,62457
hy-AM,56.18,31.73,436,37511,21188
ia,17.22,13.94,72,14760,11945
id,65.91,33.33,626,59283,29985
ig,8.8,0.02,120,5804,17
is,0.09,0.06,5,50,35
it,414.7,360.48,7249,275456,239445
ja,596.65,223.97,5512,472946,177537
ka,307.53,160.75,2500,212937,111306
kab,693.21,570.03,1583,746858,614153
kk,3.57,2.23,178,2617,1636
kln,91.74,42.22,41,70200,32311
kmr,101.79,69.75,582,89487,61326
ko,8.18,2.12,143,5510,1430
ky,47.84,38.76,294,37831,30652
lg,559.25,436.77,660,348092,271856
lij,5.72,5.09,38,5256,4672
lo,0.39,0.24,15,218,136
lt,32.18,26.42,317,22534,18501
ltg,30.1,27.65,353,23332,21429
luo,119.6,29.4,45,82726,20342
lv,302.45,259.93,6352,227574,195581
mdf,0.5,0.49,11,345,336
mhr,301.49,280.89,499,234771,218727
mk,54.38,20.26,457,40743,15183
ml,11.12,3.98,147,9491,3404
mn,140.48,49.02,588,96266,33591
mr,27.65,18.91,100,16059,10987
mrj,36.91,33.73,60,31693,28966
mt,17.44,8.69,222,13207,6583
myv,3.19,3.15,13,1995,1968
nan-tw,22.93,19.48,271,31239,26535
nb-NO,0.37,0.12,8,325,112
ne-NP,1.8,1.29,50,1603,1154
nhi,0.56,0.05,4,402,37
nl,124.66,114.35,1796,102663,94175
nn-NO,1.68,1.55,40,1379,1280
nr,0.0,0.0,1,2,0
nso,0.02,0.0,1,20,2
oc,13.36,2.65,147,9875,1963
or,37.06,6.25,159,23953,4041
os,1.2,0.87,35,792,573
pa-IN,4.19,2.38,71,3136,1781
pl,185.24,173.27,3397,146177,136729
ps,137.33,79.34,1435,99981,57763
pt,219.94,182.07,3668,190626,157808
quy,3.11,0.07,8,1300,32
rm-sursilv,11.33,6.57,91,7504,4356
rm-vallader,4.25,2.46,53,2631,1526
ro,48.61,21.69,443,43348,19342
ru,285.0,244.39,3434,198249,170004
rw,2384.28,2001.66,1166,1714154,1439078
sah,13.73,9.49,128,7968,5508
sat,1.05,0.64,13,849,521
sc,3.57,2.91,32,2745,2233
sd,21.05,0.36,20,17873,310
sk,47.62,46.22,263,40574,39380
skr,6.75,4.32,60,5837,3737
sl,21.13,16.88,936,19076,15240
sq,9.07,8.82,142,6406,6229
sr,12.12,7.38,176,13488,8217
st,0.18,0.0,2,209,0
sv-SE,55.66,46.74,867,49867,41872
sw,1084.96,399.75,1471,725112,267169
ta,425.46,234.49,964,247105,136193
te,2.68,0.36,54,2311,313
th,424.83,172.73,7953,364897,148363
ti,0.41,0.03,12,301,27
tig,9.75,7.31,119,5483,4112
tk,6.96,2.94,122,4572,1936
tn,4.91,4.24,17,4049,3495
tok,20.04,14.15,165,17316,12232
tr,132.03,126.77,1718,124566,119611
ts,0.0,0.0,1,1,0
tt,32.84,31.6,280,30869,29700
tw,0.32,0.23,11,272,199
ug,448.25,363.71,1533,277133,224869
uk,114.87,99.84,1136,89088,77432
ur,301.35,81.22,483,252480,68049
uz,264.73,100.36,2235,229375,86963
vi,19.53,5.98,314,17810,5453
vot,0.28,0.06,6,427,103
xh,0.02,0.0,3,15,1
yi,0.58,0.51,45,507,452
yo,7.77,5.57,127,4673,3350
yue,307.35,210.42,1152,278930,190963
zgh,1.92,1.25,27,2025,1323
zh-CN,1069.46,237.17,7330,847529,187958
zh-HK,141.0,108.38,3084,121980,93760
zh-TW,129.1,78.62,2259,138195,84157
zu,0.1,0.0,4,110,7
zza,2.49,1.77,18,2189,1558
